Shabazz Napier,PG,POR,0.37,218
Maurice Ndour,PF,NYK,0.143,98
Gary Neal,SG,ATL,0,4
Jameer Nelson,PG,DEN,0.388,687
Raul Neto,PG,UTA,0.323,100
Georges Niang,PF,IND,0.083,21
Andrew Nicholson,PF,TOT,0.185,100
Joakim Noah,C,NYK,0,232
Nerlens Noel,C,TOT,0,445
Lucas Nogueira,C,TOR,0.25,253
Steve Novak,PF,MIL,0.167,5
Dirk Nowitzki,PF,DAL,0.378,769
Jusuf Nurkic,C,TOT,0,662
David Nwaba,SG,LAL,0.2,120
Johnny O'Bryant,PF,TOT,0.5,38
Kyle O'Quinn,C,NYK,0.118,496
Daniel Ochefu,C,WAS,,24
Jahlil Okafor,C,PHI,,590
Victor Oladipo,SG,OKC,0.361,1067
Kelly Olynyk,C,BOS,0.354,678
Arinze Onuaku,C,ORL,,4
Chinanu Onuaku,C,HOU,,14
Kelly Oubre,SF,WAS,0.287,501
Zaza Pachulia,C,GSW,0,426
Georgios Papagiannis,C,SAC,0,124
Jabari Parker,PF,MIL,0.365,1025
Tony Parker,PG,SAS,0.333,638
Chandler Parsons,SF,MEM,0.269,210
Lamar Patterson,SG,ATL,0.167,9
Patrick Patterson,PF,TOR,0.372,445
Chris Paul,PG,LAC,0.411,1104
Adreian Payne,PF,MIN,0.2,63
Cameron Payne,PG,TOT,0.314,160
Elfrid Payton,PG,ORL,0.274,1046
Gary Payton,PG,MIL,0.111,20
Paul Pierce,SF,LAC,0.349,81
Marshall Plumlee,C,NYK,,40
Mason Plumlee,C,TOT,0,842
Miles Plumlee,C,TOT,,113
Jakob Poeltl,C,TOR,,165
Otto Porter,SF,WAS,0.434,1075
Bobby Portis,PF,CHI,0.333,437
Kristaps Porzingis,PF,NYK,0.357,1196
Dwight Powell,C,DAL,0.284,516
Norman Powell,SG,TOR,0.324,636
Alex Poythress,PF,PHI,0.316,64
Ronnie Price,PG,PHO,0.176,14
Tim Quarterman,SG,POR,0.385,31
Chasson Randle,PG,TOT,0.34,137
Julius Randle,PF,LAL,0.27,975
Zach Randolph,PF,MEM,0.223,1028
J.J. Redick,SG,LAC,0.429,1173
Willie Reed,C,MIA,0.25,374
Josh Richardson,SG,MIA,0.33,539
Malachi Richardson,SG,SAC,0.286,79
Austin Rivers,SG,LAC,0.371,889
Andre Roberson,SF,OKC,0.245,522
Brian Roberts,PG,CHO,0.386,142
Glenn Robinson,SF,IND,0.392,419
Thomas Robinson,PF,LAL,0,241
Sergio Rodriguez,PG,PHI,0.365,530
Rajon Rondo,PG,CHI,0.376,538
Derrick Rose,PG,NYK,0.217,1154
Terrence Ross,SF,TOT,0.363,858
Terry Rozier,PG,BOS,0.318,410
Ricky Rubio,PG,MIN,0.306,836
Damjan Rudez,SF,ORL,0.313,82
Brandon Rush,SG,MIN,0.386,197
D'Angelo Russell,PG,LAL,0.352,984
Domantas Sabonis,PF,OKC,0.321,479
Larry Sanders,C,CLE,,4
Dario Saric,PF,PHI,0.311,1040
Tomas Satoransky,SG,WAS,0.243,154
Dennis Schroder,PG,ATL,0.34,1414
Luis Scola,PF,BRK,0.34,184
Mike Scott,PF,ATL,0.148,45
Thabo Sefolosha,SF,ATL,0.342,444
Wayne Selden,SG,TOT,0.25,71
Kevin Seraphin,PF,IND,0,232
Ramon Sessions,PG,CHO,0.339,312
Iman Shumpert,SG,CLE,0.36,567
Pascal Siakam,PF,TOR,0.143,229
Jonathon Simmons,SG,SAS,0.294,483
Kyle Singler,SF,OKC,0.189,88
Marcus Smart,SG,BOS,0.283,835
Ish Smith,PG,DET,0.267,758
J.R. Smith,SG,CLE,0.351,351
Jason Smith,C,WAS,0.474,420
Tony Snell,SG,MIL,0.406,683
Marreese Speights,C,LAC,0.372,711
Tiago Splitter,C,PHI,0.333,39
Nik Stauskas,SG,PHI,0.368,756
Lance Stephenson,SG,TOT,0.3,122
Jarnell Stokes,C,DEN,,3
Diamond Stone,C,LAC,,10
Rodney Stuckey,PG,IND,0.317,281
Jared Sullinger,PF,TOR,0.167,37
Edy Tavares,C,TOT,,8
Isaiah Taylor,PG,HOU,0,3
Jeff Teague,PG,IND,0.357,1254
Mirza Teletovic,PF,MIL,0.341,451
Garrett Temple,SG,SAC,0.373,506
Jason Terry,SG,MIL,0.427,307
Isaiah Thomas,PG,BOS,0.379,2199
Lance Thomas,PF,NYK,0.447,275
Hollis Thompson,SG,TOT,0.337,205
Klay Thompson,SG,GSW,0.414,1742
Tristan Thompson,C,CLE,0,630
Marcus Thornton,SG,WAS,0.35,219
Mike Tobey,C,CHO,,2
Anthony Tolliver,PF,SAC,0.391,461
Axel Toupane,SF,TOT,0.25,11
Karl-Anthony Towns,C,MIN,0.367,2061
P.J. Tucker,SF,TOT,0.357,540
Evan Turner,SF,POR,0.263,586
Myles Turner,C,IND,0.348,1173
Beno Udrih,PG,DET,0.344,227
Tyler Ulis,PG,PHO,0.266,444
Jarrod Uthoff,PF,DAL,0.333,40
Jonas Valanciunas,C,TOR,0.5,959
Denzel Valentine,SG,CHI,0.351,291
